EZweb番号	Shift_JIS(web/hex)	i-mode	SoftBank
%e1%	F659	%i1044%	%s282%
%e2%	F65A	%i158%	%s33%
%e3%	F65B	？	%s32%
%e4%	F748	%i124%	[Q]
%e5%	F749	<	%s259%
%e6%	F74A	>	%s258%
%e7%	F74B	<<	%s261%
%e8%	F74C	>>	%s260%
%e9%	F74D	■	%s227%
%e10%	F74E	■	%s226%
%e11%	F74F	[i]	[i]
%e12%	F69A	%i1075%	%s68%
%e13%	F6EA	[スピーカ]	%s165%
%e14%	F796	%i1010%	%s147%
%e15%	F65E	%i98%	%s76%
%e16%	F65F	%i5%	%s161%
%e17%	F750	■	%s227%
%e18%	F751	■	%s226%
%e19%	F752	◆	%s227%
%e20%	F753	◆	%s227%
%e21%	F754	■	%s227%
%e22%	F755	■	%s226%
%e23%	F756	%i95%	%s225%
%e24%	F757	%i95%	%s225%
%e25%	F797	%i1020%	[腕時計]
%e26%	F758	＋	＋
%e27%	F759	－	－
%e28%	F75A	＊	＊
%e29%	F75B	↑	%s250%
%e30%	F75C	↓	%s251%
%e31%	F75D	%i1045%	[禁止]
%e32%	F75E	▼	▼
%e33%	F75F	▲	▲
%e34%	F760	▼	▼
%e35%	F761	▲	▲
%e36%	F762	◆	%s227%
%e37%	F763	◆	%s227%
%e38%	F764	■	%s227%
%e39%	F765	■	%s226%
%e40%	F766	%i95%	%s225%
%e41%	F767	%i95%	%s225%
%e42%	F768	%i90%	%s255%
%e43%	F769	%i89%	%s256%
%e44%	F660	%i1%	%s74%
%e45%	F693	%i22%	%s22%
%e46%	F7B1	%i176%	%s45%
%e47%	F661	%i97%	%s76%
%e48%	F6EB	%i1008%	%s337%
%e49%	F77C	φ	φ
%e50%	F6D3	%i140%	%s2%
%e51%	F7B2	%i136%	%s34%
%e52%	F69B	%i52%	%s68%
%e53%	F6EC	%i1054%	%s116%
%e54%	F76A	%i1039%	%s555%
%e55%	F76B	×	%s351%
%e56%	F77D	%i76%	%s301%
%e57%	F798	%i1017%	[砂時計]
%e58%	F654	%i1017%	[砂時計]
%e59%	F77E	[フロッピー]	%s322%
%e60%	F662	[雪結晶]	[雪結晶]
%e61%	F76C	×	%s351%
%e62%	F76D	×	%s351%
%e63%	F76E	→	%s252%
%e64%	F76F	←	%s253%
%e65%	F69C	%i53%	%s71%
%e66%	F770	÷	÷
%e67%	F780	[カレンダー]	[カレンダー]
%e68%	F6D4	%i140%	%s86%
%e69%	F663	☆	%s347%
%e70%	F771	%i59%	%s254%
%e71%	F772	%i104%	%s257%
%e72%	F6ED	%i1016%	%s52%
%e73%	F773	[チェックマーク]	[チェックマーク]
%e74%	F6B8	%i100%	%s82%
%e75%	F640	☆彡	☆彡
%e76%	F644	%i150%	%s346%
%e77%	F64E	%i151%	%s115%
%e78%	F6B9	%i1068%	%s535%
%e79%	F7AC	[フォルダ]	[フォルダ]
%e80%	F6D5	%i140%	%s1%
%e81%	F774	%i1038%	%s278%
%e82%	F775	%i1043%	%s279%
%e83%	F674	%i69%	%s335%
%e84%	F7AD	[フォルダ]	[フォルダ]
%e85%	F7B3	%i74%	%s9%
%e86%	F6D6	[フキダシ]	[フキダシ]
%e87%	F799	[カード]	[カード]
%e88%	F776	▲	▲
%e89%	F777	▼	▼
%e90%	F790	[USA]	%s512%
%e91%	F675	%i70%	%s172%
%e92%	F781	%i76%	%s301%
%e93%	F7B4	%i51%	%s69%
%e94%	F6EE	%i68%	%s8%
%e95%	F664	%i3%	%s75%
%e96%	F694	[フットボール]	%s443%
%e97%	F782	%i70%	%s172%
%e98%	F65C	%i1036%	%s155%
%e99%	F642	%i48%	%s178%
%e100%	F783	%i70%	%s172%
%e101%	F784	%i70%	%s172%
%e102%	F785	%i70%	%s172%
%e103%	F786	%i76%	%s301%
%e104%	F6EF	%i56%	%s319%
%e105%	F787	[カレンダー]	[カレンダー]
%e106%	F676	%i65%	%s137%
%e107%	F665	%i2%	%s73%
%e108%	F6FA	%i110%	%s103%
%e109%	F79A	%i113%	￥
%e110%	F6F0	%i58%	%s61%
%e111%	F79B	%i58%	%s61%
%e112%	F684	%i38%	%s54%
%e113%	F6BD	%i1056%	%s304%
%e114%	F79C	[包丁]	[包丁]
%e115%	F79D	[ビデオ]	%s141%
%e116%	F6D7	%i93%	[メガネ]
%e117%	F778	└→	└→
%e118%	F779	%i117%	←┘
%e119%	F6F1	%i119%	%s120%
%e120%	F6F2	%i116%	%s63%
%e121%	F788	%i70%	%s172%
%e122%	F677	%i70%	%s172%
%e123%	F79E	[ネジ]	[ネジ]
%e124%	F6F3	%i55%	%s162%
%e125%	F68A	%i33%	%s27%
%e126%	F79F	[フロッピー]	%s322%
%e127%	F791	[グラフ]	%s174%
%e128%	F792	[グラフ]	%s174%
%e129%	F6F4	%i40%	%s101%
%e130%	F7A0	%i151%	[懐中電灯]
%e131%	F789	%i70%	%s172%
%e132%	F77A	[チェックマーク]	[チェックマーク]
%e133%	F6A7	%i1060%	%s124%
%e134%	F6BA	%i100%	%s82%
%e135%	F7A1	[電池]	[電池]
%e136%	F77B	%i166%	[スクロール]
%e137%	F78A	[画びょう]	[画びょう]
%e138%	F6F5	%i116%	%s168%
%e139%	F7A2	%i1010%	%s147%
%e140%	F6D8	←	%s248%
%e141%	F6D9	→	%s249%
%e142%	F78B	%i70%	%s172%
%e143%	F678	%i1037%	[クリップ]
%e144%	F6A8	%i72%	%s118%
%e145%	F6F6	[名札]	[名札]
%e146%	F685	%i50%	%s67%
%e147%	F78C	%i70%	%s172%
%e148%	F68B	[トラック]	%s447%
%e149%	F679	%i1014%	%s301%
%e150%	F7A3	[PDC]	[PDC]
%e151%	F7AE	%i106%	%s103%
%e152%	F7A4	%i1013%	[レンチ]
%e153%	F7AF	[送信BOX]	[送信BOX]
%e154%	F7B0	[受信BOX]	[受信BOX]
%e155%	F6F7	%i74%	%s9%
%e156%	F686	%i39%	%s56%
%e157%	F78D	[定規]	[定規]
%e158%	F67A	[三角定規]	[三角定規]
%e159%	F793	[グラフ]	[グラフ]
%e160%	F69D	[肉]	[肉]
%e161%	F7A5	%i75%	%s10%
%e162%	F7A6	[コンセント]	[コンセント]
%e163%	F6DA	[家族]	[家族]
%e164%	F7A7	[リンク]	[リンク]
%e165%	F6F8	%i72%	%s118%
%e166%	F6F9	%i107%	%s11%
%e167%	F666	%i1%%i2%	%s74%%s73%
%e168%	F68C	%i37%	%s29%
%e169%	F68D	%i102%	%s28%
%e170%	F6A1	[サイコロ]	[サイコロ]
%e171%	F7A8	[新聞]	[新聞]
%e172%	F68E	%i30%	%s30%
%e173%	F7A9	　	　
%e174%	F7AA		
%e175%	F7AB		
%e176%	F655	%i66%	%s314%
%e177%	F656	%i67%	%s208%
%e178%	F657	%i94%	%s210%
%e179%	F658	[若葉マーク]	%s209%
%e180%	F6FB	%i125%	%s228%
%e181%	F6FC	%i126%	%s229%
%e182%	F740	%i127%	%s230%
%e183%	F741	%i128%	%s231%
%e184%	F742	%i129%	%s232%
%e185%	F743	%i130%	%s233%
%e186%	F744	%i131%	%s234%
%e187%	F745	%i132%	%s235%
%e188%	F746	%i133%	%s236%
%e189%	F747	[10]	[10]
%e190%	F641	%i6%	%s467%
%e191%	F65D	%i4%	%s72%
%e192%	F667	%i9%	%s263%
%e193%	F668	%i10%	%s264%
%e194%	F669	%i11%	%s265%
%e195%	F66A	%i12%	%s266%
%e196%	F66B	%i13%	%s267%
%e197%	F66C	%i14%	%s268%
%e198%	F66D	%i15%	%s269%
%e199%	F66E	%i16%	%s270%
%e200%	F66F	%i17%	%s271%
%e201%	F670	%i18%	%s272%
%e202%	F671	%i19%	%s273%
%e203%	F672	%i20%	%s274%
%e204%	F673	[蛇使座]	%s275%
%e205%	F67B	%i43%	%s184%
%e206%	F67C	%i45%	%s186%
%e207%	F67D	%i49%	%s181%
%e208%	F67E	%i47%	%s179%
