i-mode番号	Shift_JIS(hex)	EZweb	SoftBank	EZweb(webでの自動変換)
%i1%	F89F	%e44%	%s74%	
%i2%	F8A0	%e107%	%s73%	
%i3%	F8A1	%e95%	%s75%	
%i4%	F8A2	%e191%	%s72%	
%i5%	F8A3	%e16%	%s161%	
%i6%	F8A4	%e190%	%s467%	
%i7%	F8A5	%e305%	［霧］	
%i8%	F8A6	%e481%	%s460%	
%i9%	F8A7	%e192%	%s263%	
%i10%	F8A8	%e193%	%s264%	
%i11%	F8A9	%e194%	%s265%	
%i12%	F8AA	%e195%	%s266%	
%i13%	F8AB	%e196%	%s267%	
%i14%	F8AC	%e197%	%s268%	
%i15%	F8AD	%e198%	%s269%	
%i16%	F8AE	%e199%	%s270%	
%i17%	F8AF	%e200%	%s271%	
%i18%	F8B0	%e201%	%s272%	
%i19%	F8B1	%e202%	%s273%	
%i20%	F8B2	%e203%	%s274%	
%i21%	F8B3	〓	〓	%e218%
%i22%	F8B4	%e45%	%s22%	
%i23%	F8B5	%e306%	%s20%	
%i24%	F8B6	%e220%	%s21%	
%i25%	F8B7	%e219%	%s24%	
%i26%	F8B8	%e421%	%s19%	
%i27%	F8B9	%e307%	%s442%	
%i28%	F8BA	%e222%	%s150%	
%i29%	F8BB	%e308%	［ポケベル］	
%i30%	F8BC	%e172%	%s30%	
%i31%	F8BD	%e341%	%s452%	
%i32%	F8BE	%e217%	%s453%	
%i33%	F8BF	%e125%	%s27%	
%i34%	F8C0	%e125%	%s446%	
%i35%	F8C1	%e216%	%s189%	
%i36%	F8C2	%e379%	%s202%	
%i37%	F8C3	%e168%	%s29%	
%i38%	F8C4	%e112%	%s54%	
%i39%	F8C5	%e156%	%s56%	
%i40%	F8C6	%e375%	%s183%	
%i41%	F8C7	%e376%	%s185%	
%i42%	F8C8	%e212%	%s177%	
%i43%	F8C9	%e205%	%s184%	
%i44%	F8CA	%e378%	%s188%	
%i45%	F8CB	%e206%	%s186%	
%i46%	F8CC	%e213%	%s58%	
%i47%	F8CD	%e208%	%s179%	
%i48%	F8CE	%e99%	%s178%	
%i49%	F8CF	%e207%	%s181%	
%i50%	F8D0	%e146%	%s67%	
%i51%	F8D1	%e93%	%s69%	
%i52%	F8D2	%e52%	%s68%	
%i53%	F8D3	%e65%	%s71%	
%i54%	F8D4	%e245%	%s132%	
%i55%	F8D5	%e124%	%s162%	
%i56%	F8D6	%e104%	%s319%	
%i57%	F8D7	%e289%	%s60%	
%i58%	F8D8	%e110%	%s61%	
%i59%	F8D9	%e70%	%s254%	
%i60%	F8DA	〓	〓	%e223%
%i61%	F8DB	%e294%	%s310%	
%i62%	F8DC	%e309%	%s502%	
%i63%	F8DD	%e494%	%s503%	%e310%
%i64%	F8DE	%e311%	〓	
%i65%	F8DF	%e106%	%s137%	
%i66%	F8E0	%e176%	%s314%	
%i67%	F8E1	%e177%	%s208%	
%i68%	F8E2	%e94%	%s8%	
%i69%	F8E3	%e83%	%s335%	
%i70%	F8E4	%e122%	%s172%	
%i71%	F8E5	%e312%	%s320%	
%i72%	F8E6	%e144%	%s118%	
%i73%	F8E7	%e313%	%s375%	
%i74%	F8E8	%e85%	%s9%	
