SoftBank番号	Webコードの一部	i-mode	EZweb
%s1%	G!	%i140%	%e80%
%s2%	G"	%i140%	%e50%
%s3%	G#	%i149%	%e273%
%s4%	G$	%i140%	%e80%
%s5%	G%	%i140%	%e50%
%s6%	G&	%i1003%	%e335%
%s7%	G'	%i92%	%e336%
%s8%	G(	%i68%	%e94%
%s9%	G)	%i74%	%e85%
%s10%	G*	%i75%	%e161%
%s11%	G+	%i107%	%e166%
%s12%	G,	%i1011%	%e337%
%s13%	G-	%i153%	%e281%
%s14%	G.	%i1028%	%e287%
%s15%	G/	〓	%e284%
%s16%	G0	%i86%	%e817%
%s17%	G1	%i87%	%e319%
%s18%	G2	%i88%	%e320%
%s19%	G3	%i26%	%e421%
%s20%	G4	%i23%	%e306%
%s21%	G5	%i24%	%e220%
%s22%	G6	%i22%	%e45%
%s23%	G7	%i1007%	%e751%
%s24%	G8	%i25%	%e219%
%s25%	G9	%i1070%	%e203%
%s26%	G:	%i1073%	%e248%
%s27%	G;	%i33%	%e125%
%s28%	G<	%i102%	%e169%
%s29%	G=	%i37%	%e168%
%s30%	G>	%i30%	%e172%
%s31%	G?	%i32%	%e217%
%s32%	G@	[?]	%e3%
%s33%	GA	%i158%	%e2%
%s34%	GB	%i136%	%e51%
%s35%	GC	%i138%	%e265%
%s36%	GD	%i176%	%e46%
%s37%	GE	%i176%	%e46%
%s38%	GF	%i176%	%e46%
%s39%	GG	%i176%	%e46%
%s40%	GH	%i176%	%e46%
%s41%	GI	%i176%	%e46%
%s42%	GJ	%i176%	%e46%
%s43%	GK	%i176%	%e46%
%s44%	GL	%i176%	%e46%
%s45%	GM	%i176%	%e46%
%s46%	GN	%i176%	%e46%
%s47%	GO	%i176%	%e46%
%s48%	GP	%i1061%	%e235%
%s49%	GQ	%i1015%	%e354%
%s50%	GR	〓	%e339%
%s51%	GS	%i103%	%e234%
%s52%	GT	%i1016%	%e72%
%s53%	GU	%i1016%	%e72%
%s54%	GV	%i38%	%e112%
%s55%	GW	〓	%e340%
%s56%	GX	%i39%	%e156%
%s57%	GY	〓	%e795%
%s58%	GZ	%i46%	%e213%
%s59%	G[	%i1053%	%e342%
%s60%	G\	%i57%	%e289%
%s61%	G]	%i58%	%e110%
%s62%	G^	%i146%	%e343%
%s63%	G_	%i116%	%e120%
%s64%	G`	〓	〓
%s65%	Ga	〓	%e292%
%s66%	Gb	〓	%e469%
%s67%	Gc	%i50%	%e146%
%s68%	Gd	%i52%	%e52%
%s69%	Ge	%i51%	%e93%
%s70%	Gf	%i1063%	%e239%
%s71%	Gg	%i53%	%e65%
%s72%	Gh	%i4%	%e191%
%s73%	Gi	%i2%	%e107%
%s74%	Gj	%i1%	%e44%
%s75%	Gk	%i3%	%e95%
%s76%	Gl	%i98%	%e15%
%s77%	Gm	%i1%	%e493%
%s78%	Gn	〓	%e344%
%s79%	Go	%i101%	%e251%
%s80%	Gp	〓	%e345%
%s81%	Gq	〓	%e346%
%s82%	Gr	%i100%	%e134%
%s83%	Gs	〓	%e347%
%s84%	Gt	〓	%e246%
